DoctorName,Email,Password,PhoneNumber,PlannedSpecialization,UserId,Status,FailureReason
Dr. Ananya Sharma,ananya.sharma@healthconsult.in,Doctor@2024SecA1,9.19811E+11,Ophthalmology,2a8ad0fc-5eb8-4783-b545-bca74e69f1ad,REGISTERED,
Dr. Vikram Nair,vikram.nair@healthconsult.in,Doctor@2024SecA2,9.19811E+11,Ophthalmology,1219ca64-9b04-421e-a771-e4bd804f8c51,REGISTERED,
Dr. Priya Menon,priya.menon@healthconsult.in,Doctor@2024SecA3,9.19811E+11,Ophthalmology,6f735023-ff72-4809-acc8-12978be633e1,REGISTERED,
Dr. Rajesh Iyer,rajesh.iyer@healthconsult.in,Doctor@2024SecB1,9.19811E+11,Cardiology,1674acaa-77f1-4b90-9e92-fa497d96d956,REGISTERED,
Dr. Sunita Kulkarni,sunita.kulkarni@healthconsult.in,Doctor@2024SecB2,9.19811E+11,Cardiology,df2a5ee8-1e7b-44b6-8ed2-b7e6594e2ec0,REGISTERED,
Dr. Arun Pillai,arun.pillai@healthconsult.in,Doctor@2024SecB3,9.19811E+11,Cardiology,74aa843a-96c0-4f92-a346-e927ea579b8d,REGISTERED,
Dr. Meera Joshi,meera.joshi@healthconsult.in,Doctor@2024SecC1,9.19811E+11,Dermatology,f09e4cbc-f288-4c98-8c02-28d48eac6fbe,REGISTERED,
Dr. Suresh Patel,suresh.patel@healthconsult.in,Doctor@2024SecC2,9.19811E+11,Dermatology,37e782e9-e51c-40aa-97fa-780fa0e2cb33,REGISTERED,
Dr. Kavitha Reddy,kavitha.reddy@healthconsult.in,Doctor@2024SecC3,9.19811E+11,Dermatology,f0b7b072-d926-43c8-b9d2-7586a19c2397,REGISTERED,
Dr. Neeraj Gupta,neeraj.gupta@healthconsult.in,Doctor@2024SecD1,9.19811E+11,Pediatrics,18ea2d87-530c-42eb-b057-4ace7317fcf8,REGISTERED,
Dr. Anjali Singh,anjali.singh@healthconsult.in,Doctor@2024SecD2,9.19811E+11,Pediatrics,df687b6f-000d-4e3a-b92f-09784d6ed67f,REGISTERED,
Dr. Ravi Kumar,ravi.kumar@healthconsult.in,Doctor@2024SecD3,9.19811E+11,Pediatrics,11aa1e5f-44ce-4981-8c73-f71ea54b4d04,REGISTERED,
Dr. Deepak Verma,deepak.verma@healthconsult.in,Doctor@2024SecE1,9.19811E+11,Neurology,4d798d57-fc92-4378-bb9a-c5625acc1970,REGISTERED,
Dr. Sneha Bhatt,sneha.bhatt@healthconsult.in,Doctor@2024SecE2,9.19811E+11,Neurology,d2c99aae-bef5-4c51-9f95-5223fc962513,REGISTERED,
Dr. Mohan Das,mohan.das@healthconsult.in,Doctor@2024SecE3,9.19811E+11,Neurology,f5855968-d937-4ac9-bce9-e1c2e393ca5d,REGISTERED,
Dr. Harish Rao,harish.rao@healthconsult.in,Doctor@2024SecF1,9.19811E+11,Orthopedics,005dde30-701b-4741-9d85-ea9f7eb0952a,REGISTERED,
Dr. Pooja Chauhan,pooja.chauhan@healthconsult.in,Doctor@2024SecF2,9.19811E+11,Orthopedics,f03506dc-f08e-476b-836a-004cc91d5928,REGISTERED,
Dr. Sanjay Mishra,sanjay.mishra@healthconsult.in,Doctor@2024SecF3,9.19811E+11,Orthopedics,223e5528-d630-41d8-a30f-8fe0ead8841e,REGISTERED,
Dr. Lakshmi Nambiar,lakshmi.nambiar@healthconsult.in,Doctor@2024SecG1,9.19811E+11,ENT,e78bb148-31cf-4690-9abf-80125a5bfed8,REGISTERED,
Dr. Ashok Trivedi,ashok.trivedi@healthconsult.in,Doctor@2024SecG2,9.19811E+11,ENT,dd5d32f6-02f5-4d5b-be6f-cc70d2303a12,REGISTERED,
Dr. Divya Pandey,divya.pandey@healthconsult.in,Doctor@2024SecG3,9.19811E+11,ENT,5ffe2e81-00eb-473a-bd6c-b7e86cd2d7d7,REGISTERED,
Dr. Rekha Agarwal,rekha.agarwal@healthconsult.in,Doctor@2024SecH1,9.19811E+11,Gynecology,165e745f-718b-4814-a75b-fbf98fdf9a18,REGISTERED,
Dr. Padma Krishnan,padma.krishnan@healthconsult.in,Doctor@2024SecH2,9.19811E+11,Gynecology,5081cc4d-0ed0-4fb6-b270-ed30bfe2e7fe,REGISTERED,
Dr. Geeta Malhotra,geeta.malhotra@healthconsult.in,Doctor@2024SecH3,9.19811E+11,Gynecology,4f7a8c96-e6ab-4e37-a24b-6c18aec18233,REGISTERED,
Dr. Kiran Desai,kiran.desai@healthconsult.in,Doctor@2024SecI1,9.19811E+11,Psychiatry,6a206376-8495-4f48-b1c9-c444700fc591,REGISTERED,
Dr. Nitin Jain,nitin.jain@healthconsult.in,Doctor@2024SecI2,9.19811E+11,Psychiatry,88f06cad-b1d8-4817-9395-963a195a1b48,REGISTERED,
Dr. Shweta Bansal,shweta.bansal@healthconsult.in,Doctor@2024SecI3,9.19811E+11,Psychiatry,9ad3fecf-4bd6-4652-b3f4-500b863ae32f,REGISTERED,
Dr. Ramesh Tiwari,ramesh.tiwari@healthconsult.in,Doctor@2024SecJ1,9.19811E+11,General Medicine,8fee87b1-b59a-468f-a811-bacca0033274,REGISTERED,
Dr. Vijaya Srinivasan,vijaya.srinivasan@healthconsult.in,Doctor@2024SecJ2,9.19811E+11,General Medicine,8e861f62-3a4f-425e-aad6-0bbeaedf29be,REGISTERED,
Dr. Aditya Chandra,aditya.chandra@healthconsult.in,Doctor@2024SecJ3,9.19811E+11,General Medicine,412e1e41-2ba0-4c8d-8ba6-846874458ecd,REGISTERED,
