"DoctorName","Email","Specialization","LicenseNumber","Hospital","City","IsProfileCompleted","ApprovalStatus","Status","FailureReason"
"Dr. Ananya Sharma","ananya.sharma@healthconsult.in","Ophthalmology","MCI-OPH-DL-2008-001","AIIMS Delhi","New Delhi","True","Pending","PROFILE_COMPLETED",""
"Dr. Vikram Nair","vikram.nair@healthconsult.in","Ophthalmology","KMC-OPH-KL-2012-002","Amrita Institute of Medical Sciences","Kochi","True","Pending","PROFILE_COMPLETED",""
"Dr. Priya Menon","priya.menon@healthconsult.in","Ophthalmology","TNMC-OPH-TN-2015-003","Apollo Hospitals","Chennai","True","Pending","PROFILE_COMPLETED",""
"Dr. Rajesh Iyer","rajesh.iyer@healthconsult.in","Cardiology","MCI-CARD-TN-2003-004","Fortis Malar Hospital","Chennai","True","Pending","PROFILE_COMPLETED",""
"Dr. Sunita Kulkarni","sunita.kulkarni@healthconsult.in","Cardiology","MMC-CARD-MH-2007-005","KEM Hospital Pune","Pune","True","Pending","PROFILE_COMPLETED",""
"Dr. Arun Pillai","arun.pillai@healthconsult.in","Cardiology","KMC-CARD-KL-2010-006","KIMS Hospital","Thiruvananthapuram","True","Pending","PROFILE_COMPLETED",""
"Dr. Meera Joshi","meera.joshi@healthconsult.in","Dermatology","MCI-DERM-RJ-2011-007","SMS Medical College and Hospital","Jaipur","True","Pending","PROFILE_COMPLETED",""
"Dr. Suresh Patel","suresh.patel@healthconsult.in","Dermatology","GMC-DERM-GJ-2016-008","Civil Hospital Ahmedabad","Ahmedabad","True","Pending","PROFILE_COMPLETED",""
"Dr. Kavitha Reddy","kavitha.reddy@healthconsult.in","Dermatology","TSMC-DERM-TS-2013-009","Yashoda Hospitals","Hyderabad","True","Pending","PROFILE_COMPLETED",""
"Dr. Neeraj Gupta","neeraj.gupta@healthconsult.in","Pediatrics","MCI-PED-UP-2009-010","Sanjay Gandhi Postgraduate Institute","Lucknow","True","Pending","PROFILE_COMPLETED",""
"Dr. Anjali Singh","anjali.singh@healthconsult.in","Pediatrics","DMC-PED-DL-2014-011","Safdarjung Hospital","New Delhi","True","Pending","PROFILE_COMPLETED",""
"Dr. Ravi Kumar","ravi.kumar@healthconsult.in","Pediatrics","KMSB-PED-KA-2018-012","Indira Gandhi Institute of Child Health","Bangalore","True","Pending","PROFILE_COMPLETED",""
"Dr. Deepak Verma","deepak.verma@healthconsult.in","Neurology","MCI-NEURO-MP-2006-013","AIIMS Bhopal","Bhopal","True","Pending","PROFILE_COMPLETED",""
"Dr. Sneha Bhatt","sneha.bhatt@healthconsult.in","Neurology","GMC-NEURO-GJ-2013-014","Sterling Hospitals","Ahmedabad","True","Pending","PROFILE_COMPLETED",""
"Dr. Mohan Das","mohan.das@healthconsult.in","Neurology","ORMC-NEURO-OR-2016-015","SCB Medical College and Hospital","Cuttack","True","Pending","PROFILE_COMPLETED",""
"Dr. Harish Rao","harish.rao@healthconsult.in","Orthopedics","APMC-ORTH-AP-2005-016","Nizam's Institute of Medical Sciences","Hyderabad","True","Pending","PROFILE_COMPLETED",""
"Dr. Pooja Chauhan","pooja.chauhan@healthconsult.in","Orthopedics","HPMC-ORTH-HP-2014-017","Indira Gandhi Medical College","Shimla","True","Pending","PROFILE_COMPLETED",""
"Dr. Sanjay Mishra","sanjay.mishra@healthconsult.in","Orthopedics","UPMC-ORTH-UP-2017-018","Era's Lucknow Medical College","Lucknow","True","Pending","PROFILE_COMPLETED",""
"Dr. Lakshmi Nambiar","lakshmi.nambiar@healthconsult.in","ENT","KMC-ENT-KL-2004-019","Government Medical College Kozhikode","Kozhikode","True","Pending","PROFILE_COMPLETED",""
"Dr. Ashok Trivedi","ashok.trivedi@healthconsult.in","ENT","MPMC-ENT-MP-2010-020","NSCB Medical College","Jabalpur","True","Pending","PROFILE_COMPLETED",""
"Dr. Divya Pandey","divya.pandey@healthconsult.in","ENT","UPMC-ENT-UP-2018-021","King George's Medical University","Lucknow","True","Pending","PROFILE_COMPLETED",""
"Dr. Rekha Agarwal","rekha.agarwal@healthconsult.in","Gynecology","UPMC-GYN-UP-2001-022","Ram Manohar Lohia Hospital","New Delhi","True","Pending","PROFILE_COMPLETED",""
"Dr. Padma Krishnan","padma.krishnan@healthconsult.in","Gynecology","TNMC-GYN-TN-2009-023","Madras Medical College","Chennai","True","Pending","PROFILE_COMPLETED",""
